meeting_date,meeting_id,document_name,file_size_bytes,filename
2024-06-11,30933,20240528_BoardReport10003.pdf,40343,2024-06-11__20240528_BoardReport10003.pdf
2024-06-11,30933,20240528_CheckRegisterbyCheckingAccount.pdf,10765,2024-06-11__20240528_CheckRegisterbyCheckingAccount.pdf
2024-06-11,30933,20240528_DetailCheckRegister.pdf,34505,2024-06-11__20240528_DetailCheckRegister.pdf
2024-06-11,30933,20240604_BoardReport10003.pdf,193304,2024-06-11__20240604_BoardReport10003.pdf
2024-06-11,30933,20240604_CheckRegisterbyCheckingAccount.pdf,25092,2024-06-11__20240604_CheckRegisterbyCheckingAccount.pdf
2024-06-11,30933,20240604_DetailCheckRegister.pdf,147625,2024-06-11__20240604_DetailCheckRegister.pdf
2024-06-11,30933,Accounts_Payable_Summaries - 20240611.pdf,42822,2024-06-11__Accounts_Payable_Summaries - 20240611.pdf
2024-06-25,30934,20240611_BoardReport10003.pdf,87857,2024-06-25__20240611_BoardReport10003.pdf
2024-06-25,30934,20240611_CheckRegisterbyCheckingAccount.pdf,15304,2024-06-25__20240611_CheckRegisterbyCheckingAccount.pdf
2024-06-25,30934,20240611_DetailCheckRegister.pdf,67121,2024-06-25__20240611_DetailCheckRegister.pdf
2024-06-25,30934,20240618_BoardReport10003.pdf,342916,2024-06-25__20240618_BoardReport10003.pdf
2024-06-25,30934,20240618_CheckRegisterbyCheckingAccount.pdf,41199,2024-06-25__20240618_CheckRegisterbyCheckingAccount.pdf
2024-06-25,30934,20240618_DetailCheckRegister.pdf,275936,2024-06-25__20240618_DetailCheckRegister.pdf
2024-06-25,30934,Accounts_Payable_Summaries - 20240625.pdf,31834,2024-06-25__Accounts_Payable_Summaries - 20240625.pdf
2024-07-23,30939,20240709_BoardReport10003.pdf,136975,2024-07-23__20240709_BoardReport10003.pdf
2024-07-23,30939,20240709_CheckRegisterbyCheckingAccount.pdf,20139,2024-07-23__20240709_CheckRegisterbyCheckingAccount.pdf
2024-07-23,30939,20240709_DetailCheckRegister.pdf,110698,2024-07-23__20240709_DetailCheckRegister.pdf
2024-07-23,30939,20240716BoardReport10003.pdf,169187,2024-07-23__20240716BoardReport10003.pdf
2024-07-23,30939,20240716CheckRegisterbyCheckingAccount.pdf,21291,2024-07-23__20240716CheckRegisterbyCheckingAccount.pdf
2024-07-23,30939,20240716DetailCheckRegister.pdf,124230,2024-07-23__20240716DetailCheckRegister.pdf
2024-07-23,30939,Accounts_Payable_Summaries - 20240723.pdf,32051,2024-07-23__Accounts_Payable_Summaries - 20240723.pdf
2024-08-13,30940,20240724BoardReport10003.pdf,38645,2024-08-13__20240724BoardReport10003.pdf
2024-08-13,30940,20240724CheckRegisterbyCheckingAccount.pdf,9259,2024-08-13__20240724CheckRegisterbyCheckingAccount.pdf
2024-08-13,30940,20240724DetailCheckRegister.pdf,29674,2024-08-13__20240724DetailCheckRegister.pdf
