Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
10 0218 1300 355 0000 612   05/05/2026         Fareway Stores #950      Purchase Fareway Stores #950 FCS G.Westfall-K.Schopf LTS                                                                   36.07
10 0445 1100 102 0000 612   05/05/2026         Amazon Mktpl Bj0rg6g40   Art Supplies - Joe Bacon                                                                                                  223.72
10 0109 1100 106 0000 612   05/05/2026         Amazon Mktpl Bj7fp8yr1   Honors Graduation Cords (Royal Blue/Kelly Green) - Seal of Bi-Literacy/D.Silva                                            232.00
21 0118 1900 921 6725 611   05/05/2026         Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                               213.43
21 0118 1900 921 6860 611   05/05/2026         Culvers Of Cedar Falls   Purchase Culvers Of Cedar Falls                                                                                            12.70
21 0447 1900 950 7022 611   05/05/2026         Amazon Mktpl Bj18e3yy1   High Visibility Kids Safety Vests                                                                                          25.99
21 0118 1900 950 7015 611   05/05/2026         Amazon.Com Bv41d2ws2     West HS Library books                                                                                                      56.05
10 0000 2610 000 0000 685   05/05/2026         Electric Motors Of Ic    District belts                                                                                                            162.68
21 0109 1900 920 6860 611   05/05/2026         Pheasant Ridge Golf Co   Range Balls                                                                                                                26.00
10 0406 1282 431 4501 612   05/05/2026         Amazon Mktpl Bf1uq3oo2   Dry Erase Pocket Sleeves, Sheet Protectors, Abacus, EXPO Markers-Title 1/Kirkwood c/o jane Ruppenkamp                      64.45
61 0209 3110 000 0000 618   05/05/2026         Amazon Mktpl Bj03c3w31   8pk Stanchions w/ Retractable Belts - Nutrition Services                                                                  149.99
10 0000 2650 000 0000 682   05/05/2026         Arnold Motor Supply 4    Stock filters, alarms, lamps, wipers                                                                                      512.94
21 0447 1900 950 7022 611   05/05/2026         Amazon Mktpl Bj6483gk0   Avery Customizable Name Badges                                                                                             22.12
21 0218 1900 950 7040 611   05/05/2026         Amazon.Com Bv63m6yb2     Skittles & Starburst Variety Pack-Ten Eyck/Student Council-Approved by Lucas                                               57.74
10 0436 1100 100 0000 612   05/05/2026         Amazon.Com Bv6d95431     504 Tier III Student-Lucas (Snack Reward-preapproved)                                                                      98.47
21 0418 1900 950 7015 611   05/05/2026         Amazon.Com Bv8948wa2     Lincoln Library books                                                                                                       7.14
10 0209 1300 316 0000 612   05/05/2026         Amazon Mktpl Bj35e5gg0   Slab Flattening Router Bit, Scratch Awl Tool - Ind Tech Lab Materials/Levi Wood                                            89.68
10 0218 1300 316 0000 612   05/05/2026         Lowes #00907             Eaton 660-Watt Plastic keyless Ceiling Socket x4                                                                           13.93
                                                                        42pc 12sided Dice, Reading Strips, Cardstock, LCD Writing tablets, Sheet Protectors-Title 1/Borlaug c/o Deanna
