Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD

    5/6/2026    5/4/2026 XXXX-XXXX-XXXX-9219   Kwik Star #1927            $         45.26
    5/6/2026    5/4/2026 XXXX-XXXX-XXXX-7350   Menards Iowa City Ia       $        100.97
    5/6/2026    5/4/2026 XXXX-XXXX-XXXX-6061   Kwik Star #1213            $         79.96
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-5173   Amazon Mktpl Bf3790482     $         32.98
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-5173   Walmart.Com                $         34.64
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-5173   Walmart.Com                $         40.81
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-5173   Sp Childtherapytoys        $        127.09
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-5173   Sp Testa Seat Inc          $        649.00
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-4815   North Liberty Ace Hard     $          8.98
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv5782nd1       $          7.14
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bf2cp2ft2       $          8.68
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9167   Amazon Mktpl Bf36w4la2     $        110.55
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv5g23zs1       $        231.14
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj3jx6m60     $         71.76
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bv34x0zv1       $         98.94
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon.Com Bj2bf8h50       $        206.98
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj92n3bx0     $        250.48
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf5p26lu2     $        279.27
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bv9688ni1     $        444.91
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-1519   Arnold Motor Supply 4      $        224.71
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-1519   Hi-Line, Inc.              $        245.75
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-7634   Plumb Supply - Ioc - 0     $        128.40
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-4656   Animoto Inc                $        241.68
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na     $        350.00
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na     $        350.00
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-2619   Executive Travel Of Na     $        350.00
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-9774   Walmart.Com                $         77.58
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-1390   Hy-Vee Coralville 1080     $         27.11
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-2589   Jersey Mikes 38033         $        213.43
    5/6/2026    5/5/2026 XXXX-XXXX-XXXX-6889   Ikea 492878705             $        291.86
    5/6/2026    5/6/2026 XXXX-XXXX-XXXX-2677   Panera Bread #203208 O     $        424.05
    5/6/2026    5/6/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj1ig6qi0     $         59.52
